BusinessId,StreetName,Area,CompensatedDays,TotalCompensation,CostPerArea,AverageDailyCompensation
317,דיזנגוף,8,1,800,100,800
1000236,יוניצ'מן,24,1,2400,100,2400
1001759,רוקח ישראל,526,1,10000,19.01140684,10000
1002009,מבצע קדש,417,89,890000,2134.292566,10000
402,פלורנטין,878,335,3350000,3815.489749,10000
184,אלנבי,17,331,562700,33100,1700
1002134,מבצע קדש,24,89,213600,8900,2400
230,הרצל,38,365,1387000,36500,3800
235,אילת,88,179,1575200,17900,8800
940895,יפת,61,123,750300,12300,6100
187,פרנקל ידידיה,24,335,804000,33500,2400
274,אבן גבירול,539,365,3650000,6771.799629,10000
1000506,אשכול לוי,73,10,73000,1000,7300
1000404,אשכול לוי,156,10,100000,641.025641,10000
129,המסגר,148,25,250000,1689.189189,10000
1001382,אינשטיין,25,1,2500,100,2500
1002208,הדר יוסף,52,1,5200,100,5200
1001145,אינשטיין,4568,1,10000,2.189141856,10000
1001239,אינשטיין,98,1,9800,100,9800
1001761,רוקח ישראל,37993,1,10000,0.2632063801,10000
280,בגין מנחם,121,1,10000,82.6446281,10000
1001788,בני אפרים,65,1,6500,100,6500
212,אבולעפיה,161,31,310000,1925.465839,10000
95,אלנבי,70,331,2317000,33100,7000
435,אילת,54,179,966600,17900,5400
939427,יפת,74,123,910200,12300,7400
943921,הרצל,5,365,182500,36500,500
183,הירקון,124,152,1520000,12258.06452,10000
905851,אבן גבירול,216,365,3650000,16898.14815,10000
18,בגין מנחם,34,1,3400,100,3400
1001310,אינשטיין,105,1,10000,95.23809524,10000
1000574,נאמן יובל פרופסור,43,1,4300,100,4300
171,דיזנגוף,79,1,7900,100,7900
1000462,אינשטיין,47,1,4700,100,4700
1000022,קויפמן יחזקאל,187,1,10000,53.47593583,10000
1000258,יוניצ'מן,64,1,6400,100,6400
1001334,אינשטיין,69,1,6900,100,6900
1001967,בני אפרים,13,1,1300,100,1300
1002184,הדר יוסף,21,1,2100,100,2100
81,דיזנגוף,23,1,2300,100,2300
1000449,נאמן יובל פרופסור,229,1,10000,43.66812227,10000
1001248,אינשטיין,422,1,10000,23.69668246,10000
1001264,אינשטיין,89,1,8900,100,8900
1001694,רוקח ישראל,8303,1,10000,1.204383958,10000
91,בגין מנחם,606,1,10000,16.50165017,10000
93,בן צבי,938,1,10000,10.66098081,10000
1001164,אינשטיין,31,1,3100,100,3100
1001720,רוקח ישראל,6542,1,10000,1.528584531,10000
1001333,אינשטיין,247,1,10000,40.48582996,10000
1002137,בני אפרים,228,1,10000,43.85964912,10000
109,שלונסקי אברהם,167,89,890000,5329.341317,10000
1000472,אשכול לוי,10,10,10000,1000,1000
1000630,אשכול לוי,28,10,28000,1000,2800
232,השרון,144,293,2930000,20347.22222,10000
1000311,2040,2,1,200,100,200
1001271,אינשטיין,119,1,10000,84.03361345,10000
1001730,רוקח ישראל,128343,1,10000,0.07791620891,10000
