StreetName,AffectedBusinesses,TotalBusinessArea,CompensatedBusinessDays,TotalCompensation,CostPerArea,AverageCompensationPerBusiness
רוקח ישראל,43,353479,43,348200,0.9850655909,8097.674419
השרון,1,144,293,2930000,20347.22222,2930000
השוק,1,43,365,1569500,36500,1569500
יפת,3,253,369,2890500,11424.90119,963500
אינשטיין,87,70248,87,628300,8.944026876,7221.83908
הרברט סמואל,1,13,1,1300,100,1300
רוסלאן,1,8,26,20800,2600,20800
המסגר,7,2682,175,1712500,638.5160328,244642.8571
נמל תל אביב,1,33,1,3300,100,3300
2040,9,443963,9,53100,0.1196045616,5900
קלוזנר,4,38000,48,373200,9.821052632,93300
פרנקל ידידיה,1,24,335,804000,33500,804000
שלונסקי אברהם,8,6269,712,4957300,790.7640772,619662.5
נמיר מרדכי,6,36834,6,30500,0.8280393115,5083.333333
יוניצ'מן,12,1840,12,65200,35.43478261,5433.333333
הדר יוסף,21,2518,21,101100,40.15091342,4814.285714
אילת,4,212,716,3794800,17900,948700
קויפמן יחזקאל,5,1146,5,39400,34.38045375,7880
הארבעה,3,677,3,21900,32.34859675,7300
שלבים,1,527,1,10000,18.97533207,10000
ארלוזורוב,1,45,75,337500,7500,337500
טרומפלדור,1,50,331,1655000,33100,1655000
קרליבך,4,187,244,1091900,5839.037433,272975
פלורנטין,1,878,335,3350000,3815.489749,3350000
אלנבי,11,1444,3641,23699600,16412.46537,2154509.091
אשכול לוי,13,1094,130,707000,646.2522852,54384.61538
נאמן יובל פרופסור,9,2062,9,72400,35.11154219,8044.444444
בן צבי,3,1114,3,27300,24.50628366,9100
אבן גבירול,11,11315,4015,31353500,2770.967742,2850318.182
רוטשילד,2,135,724,4887000,36200,2443500
עמיחי יהודה,4,1529,4,25100,16.41595814,6275
פינסקר,1,44,137,602800,13700,602800
אחד העם,1,510,1,10000,19.60784314,10000
הירקון,5,5845,760,5821600,995.9965783,1164320
קלישר,1,10,362,362000,36200,362000
הרצל,5,4861,1825,12519500,2575.498869,2503900
בגין מנחם,25,6527,25,191800,29.38562893,7672
לה גוארדיה,1,839,39,390000,464.8390942,390000
העליה השניה,6,1540,6,55200,35.84415584,9200
בוגרשוב,1,162,75,750000,4629.62963,750000
אמירים,1,42,152,638400,15200,638400
קפלן אליעזר,2,396667,122,1220000,3.075627668,610000
כיסופים,1,31,152,471200,15200,471200
מבצע קדש,9,14807,801,5197600,351.0231647,577511.1111
אבולעפיה,1,161,31,310000,1925.465839,310000
שונצינו,1,330,22,220000,666.6666667,220000
דיזנגוף,17,914,17,78400,85.77680525,4611.764706
בני אפרים,25,28579,25,189500,6.630742853,7580
ליפקין שחק- שטח הנמל,2,402,2,18800,46.76616915,9400
הכרמל,3,54,456,820800,15200,273600
התערוכה,4,1349,4,40000,29.65159377,10000
אפטר יעקב,7,547,7,31500,57.58683729,4500
